Yab,T,X
[-18.07448236],[0],"[ 0.46200997 -0.59591213  0.04744364 -0.62202762 -0.74842004  0.05335499
 -0.20267371 -0.27975253  0.02915569 -0.72884565]"
[11.28116027],[0],"[-0.76531606 -0.09571285  0.4190964  -0.78644377  1.35653276 -0.91070126
  0.92777914 -1.26361862 -0.17683868 -0.31883959]"
[32.79622662],[0],"[ 0.98211756  1.62874397  1.15501763  0.47306056 -0.05827403  0.56975637
  1.55703337  0.65921856  0.0286846   0.68773163]"
[-14.42732891],[0],"[-0.06633338 -0.79293857 -1.10774886 -1.4545596   0.52329466 -0.85952562
 -0.28580472 -0.31902526  1.38462057 -0.5214642 ]"
[-8.73378035],[1],"[-0.8839886   0.32557573 -0.94455112 -0.00381372 -0.40093273 -0.5845583
  0.26551647  0.27125295 -0.32686647 -0.13508718]"
[4.72457498],[1],"[-0.14821084  0.14262473 -0.63892586  0.13588086  0.76764454 -0.83633497
 -0.96434685  0.32784893  1.12244825  0.26070402]"
[5.51661775],[0],"[ 0.3169909  -0.40247768 -0.61057528 -0.45262646  0.79627515 -0.15747126
  0.12757713  0.68617846  0.19223627 -0.22053246]"
[-44.33883365],[1],"[-1.93309714 -0.85910243 -2.09384723 -1.60755364  0.13919677 -1.96062403
 -1.89184163 -0.59343486 -0.69038329 -1.1812833 ]"
[30.58172726],[0],"[ 1.18786082 -0.23742961  0.27487631  1.46136949  1.38470175  0.46118026
  1.60655604  0.35549721  0.64017022  0.35247028]"
[-20.33300911],[1],"[-0.31570233  0.05331431  0.36808771  0.36408099 -1.91373667  0.3758055
  0.17350943 -0.69702149  1.01984766 -0.33228415]"
[61.45265225],[0],"[ 1.82756289  0.16472767  1.44008869 -0.54354734  2.24508346  1.77531306
 -0.01204942  0.69813808  0.75785303  0.99444624]"
[4.08208337],[1],"[-0.96630073 -0.69963854  0.1084819  -0.08586767  1.07436107 -0.384717
 -0.64284482 -0.28033364  0.15298959 -0.53443616]"
[-62.20280582],[1],"[-2.08083046 -1.58989492 -1.46127157 -2.55645381 -1.49968478 -2.09872757
 -2.20592776 -1.12871073 -1.45902296 -1.46021264]"
[-33.70564548],[1],"[-1.11056592 -0.63814375 -0.65182019  1.12891998 -1.50390449  0.56057058
 -1.08834133 -0.28238983 -0.1707724  -0.28816477]"
[39.89992987],[1],"[0.55728685 0.52621186 1.19836688 0.53366722 0.94942698 0.2699167
 0.57492795 0.64307394 1.23925963 0.5931863 ]"
[13.82558124],[1],"[ 0.46583361 -1.00437579 -0.57824418 -0.11055417  0.92952399 -0.06138307
  1.13123403 -0.84494625  0.17829572  0.39240413]"
[-30.23715472],[1],"[-1.50857741 -0.8152148  -1.35387725 -0.81391683 -1.06723673 -0.41656912
  0.27996403 -1.12557157 -0.84482023 -0.24943091]"
[19.87380092],[0],"[ 0.27612914  1.20618652  1.34999396  1.75449527  0.21281598  0.61091665
  0.03253102 -0.03045844  0.9335978   0.61078274]"
[-4.50440723],[0],"[ 0.38850349  0.4358488  -0.6777098  -1.14910447  0.30409264 -0.1830999
  0.07519275 -0.63308041  0.09837173  0.00953898]"
[13.17148166],[0],"[-0.75064046 -0.32674707  0.47385736 -1.48619094  0.04517344 -0.35039854
  0.88303467 -0.06502336 -0.64686196 -0.00805117]"
[-7.4332729],[1],"[-0.30808706 -0.4730841   0.889952   -1.30002276 -0.66218039 -1.02924806
 -1.59252654 -0.39085401 -1.46224364 -0.44820064]"
[26.6232178],[1],"[ 0.70913288  0.32655678  0.92102416  2.48975502  0.17846974  0.31922408
 -0.28606059  1.58390813 -0.16921595  0.54507326]"
[-51.6164353],[0],"[-1.62388726 -1.68405834 -0.52491195 -1.97844824 -1.44049429 -1.50237136
 -1.63897383 -0.85900105 -1.21794697 -1.44772713]"
[-68.50940361],[0],"[-0.23128467 -1.54073207 -1.67380077 -2.19073137 -1.92078932 -1.19825152
 -1.75696811 -1.31729249 -1.26568634 -1.34408628]"
[-21.21486201],[0],"[ 0.34125016 -0.16079781 -0.89151349 -2.24249279 -1.02282048  0.40207122
  0.56567068 -0.73312425  0.84920148 -0.40272894]"
[6.64656765],[1],"[ 0.84778736 -0.43358514  0.65437035 -0.89451665 -0.19460031  0.10180318
 -0.32320907 -0.48512318 -0.72120317 -0.13892143]"
[-20.15036565],[1],"[ 0.25723514 -0.23821772 -0.51634235 -0.93809915 -0.86749795 -1.08449712
  0.28003487 -0.38922532 -0.37537297 -0.87391109]"
[7.40261056],[1],"[ 0.94130128 -0.72225087  0.12292058 -0.03930915  0.49207236 -1.34816365
 -0.21904086  0.38365819  0.39007201 -0.26847836]"
[9.02789305],[0],"[ 0.26847272 -0.80690588 -0.20241741  0.04329129  0.21645443  0.95222855
  0.60501855  0.9333724  -0.38827961 -0.15802057]"
[24.01690996],[1],"[0.37034193 0.40429339 0.32918919 1.83228618 0.04684379 1.41952144
 1.13229096 1.3439813  0.58660586 0.37766331]"
[-64.29292587],[0],"[-0.59970165 -2.08320771 -1.88092623 -2.59290478 -1.44138505 -0.69418516
 -1.24002227 -1.33660066 -1.33407077 -1.44744897]"
[-36.4878234],[1],"[-2.4281954  -0.92724878 -2.28323026 -0.54840496 -0.03474917 -0.645805
 -0.86863638 -0.17482608 -1.03099553 -0.76396607]"
[42.97343924],[1],"[ 0.83418217  0.38241839  2.30020103 -0.01145347  0.54764669 -0.17295946
  0.32660759 -0.52349094  0.89968966  0.84868443]"
[9.45425897],[1],"[ 0.91072531  1.17012469  0.1353816  -0.90812599  0.97074875 -0.97576896
 -0.32414501 -0.35307489  1.32839587 -0.04576129]"
[50.17768318],[0],"[0.35857933 0.80759227 0.54196809 1.94655102 1.98775465 1.31558275
 0.88082494 1.26553316 0.97276728 1.17334792]"
[6.89378051],[0],"[ 0.49825832  0.84314988  0.16362054  0.8854573  -0.00434105  0.63373588
  0.16850688  0.31334392  0.52344525  0.30385345]"
[22.3594008],[0],"[-0.07103438  0.00380366  0.93777927 -0.97166809  0.23317409  1.17180847
 -1.47613396  1.53795015  0.25018872  0.37302776]"
[22.82032825],[0],"[-0.05283136 -0.0850999   1.41426242  0.31665052  0.74554881  0.22162995
 -0.77365641  0.88400764  1.24710602 -0.0056874 ]"
[34.64018147],[0],"[-0.71667846  0.11345519  1.03197953  1.00044657  1.50874288  0.72484294
  0.1187064   0.56128045  0.9905972   0.51893299]"
[-56.86593531],[0],"[-1.15477958 -0.1635089  -0.71733161 -0.51439638 -2.00355558 -0.88745063
 -2.02432592 -1.13907708 -0.62648056 -0.87862529]"
[2.79088453],[1],"[-0.90756081  1.57624397 -0.65800321  1.21226743  0.13337478 -0.10797677
  0.5330059   0.45578312  0.09609639  0.23541787]"
[9.51399735],[1],"[-1.36949228 -0.10646689  1.32468952  0.08893685  0.09846326 -0.39929186
  0.06290619 -0.65736616 -0.82795809 -0.22832949]"
[20.91240109],[1],"[-1.4217938   0.50211157  0.43170826  0.0947851   0.55832882 -0.0312807
  1.09496471  0.62097418  0.52436411 -0.01095518]"
[21.57869203],[1],"[ 1.02214661  0.71046666  0.97852083 -0.97197339  0.31500863  0.4186261
 -0.29122472  0.10202207  0.87120335  0.12153321]"
[-32.5244484],[0],"[ 0.64178087 -0.02441348 -0.48090595 -1.08724864 -2.10462556 -0.76833432
 -0.57942644 -0.39780435 -1.11248585 -0.27626482]"
[-4.38353564],[0],"[-0.91300845 -1.37152084 -0.02859049 -1.11018675  0.43611911 -0.41345707
 -0.48444042 -0.27967942 -0.39146528 -0.53611116]"
[-4.33735333],[0],"[-0.24234206 -0.34045235 -0.29560839 -0.61346423  0.5971937   0.069422
  0.41993322 -0.29680117 -0.90473174 -0.71702744]"
[13.3309382],[0],"[ 0.28725866  1.20940761 -0.10870261 -0.17072789  1.00786627  0.57301466
 -1.18832919  0.70788477  1.52546273  0.32188218]"
[-37.63428716],[1],"[-1.83917277 -1.89969283 -1.90944418  1.22216769 -0.06460598 -0.34241523
 -0.20868347 -0.82268591 -0.6003381  -0.64946074]"
[13.23426655],[1],"[-0.95454425 -0.23332373  0.15434135 -1.2322331   1.22047841 -0.55839959
  0.21256909  0.00377351  0.50431587 -0.54826701]"
[-39.57031294],[1],"[-1.27863369 -2.30655551 -1.09627755 -1.36630317 -1.18212925 -0.57451843
 -0.92553288 -0.5416418  -0.16069979 -1.05010055]"
[36.32554038],[1],"[ 1.46779055  0.66917422  0.77885478  0.22299284  0.7024098  -0.18408285
  0.20583292  1.33473824 -0.31722869  0.38105432]"
[7.22299481],[1],"[-0.1625552   0.09437825  0.84716207 -1.18741049  0.16346285 -1.18717193
 -0.16313291  0.08676936 -1.74309222 -0.75986759]"
[39.57309977],[1],"[ 2.3962832   0.59328817  0.75190057  0.35678763  1.18344416  0.53676452
 -0.72859519  0.45928485  1.30021599  1.17140612]"
[0.86930825],[0],"[-0.69478144 -0.7015329  -0.94204285  1.00143712  1.34114213 -0.57891043
 -0.15988724  0.03995121 -0.03660612  0.02656463]"
[-9.93753897],[1],"[-0.06482001  1.65209464 -0.4242371  -0.00833571  0.06585578 -0.21411619
 -1.81484625 -0.23410601 -0.70995195 -0.08743116]"
[-1.49722299],[0],"[-0.36036307  0.58727958  0.22248001  1.20189639 -0.47314034  0.0606711
  1.05270416  0.01880399 -0.03587385 -0.06868041]"
[-66.04843497],[1],"[-0.66627757 -1.7867536  -2.34275833 -0.33968628 -0.88995004 -1.14357606
 -3.05161893 -0.8301656  -2.20967602 -1.42510627]"
[26.34040731],[0],"[ 0.47056621  0.69059084  1.0742961  -1.31233821  0.22047251  0.0672934
  0.68988043  0.49406655  0.1470827   0.24602948]"
[-15.0147192],[1],"[-0.37834777  0.71313186 -0.36978922  0.1715012  -0.61007376 -0.03499347
 -1.53295649  0.07700168  0.02638025 -0.11354497]"
[20.56813419],[0],"[ 0.78448252  0.98089915  1.12516697  0.56736921  0.93766904  0.80472244
 -0.48654543  0.06205379  0.48537153  0.09208795]"
[-27.30911227],[0],"[-1.39409165 -0.2431519  -0.70394852 -0.909428   -0.52814105 -1.04948497
 -1.19838301  0.48196032  0.08160888 -0.79131443]"
[51.44560048],[0],"[ 0.31443845  0.93272128  0.63352411 -0.0756095   2.69142022  0.91929731
  1.28090337  0.50575317  0.89076473  0.54905999]"
[19.78223454],[1],"[-0.38782897 -0.18613417 -0.04387667  1.39265795  0.8774148  -0.68621966
  1.42991877 -0.43821413  0.19392672  0.41119773]"
[50.1855426],[1],"[0.47130891 0.90685376 0.95106985 0.6687448  2.210754   0.42442825
 1.27411868 0.33731498 1.53119832 0.47411573]"
[9.10970621],[0],"[ 0.81456477  0.3018917   0.5200084  -0.31651695 -0.34820989  1.22172937
 -0.05558037  0.20534449  0.88720162  0.34815076]"
[-7.41963169],[1],"[ 0.5378409   0.30845121  0.28987681  0.49144889 -1.13571176 -0.05496103
  0.60025849  0.09721337 -0.10352985 -0.30755546]"
[47.40504696],[1],"[ 0.75310062  0.16426283  2.09319208  2.44203513  0.31589008  0.80691379
  2.45733541  0.93788993 -0.282162    0.27704784]"
[-6.72882182],[1],"[ 1.55637449  0.29000338 -0.43820464 -0.43217196  0.53734285 -0.03450778
 -1.06415568 -0.28774811 -0.15832189 -0.58923656]"
[-17.13733475],[0],"[-1.53297259  0.49420011 -0.71822423  0.14656369 -0.84228306  0.42416849
 -0.44974153  0.12785523 -0.80936598  0.13086052]"
[20.69244948],[0],"[ 0.32364286  0.49113957  0.87499333  1.76379649  0.74701431  0.59706031
 -0.72084393  0.07903872  0.47417839  0.69679615]"
[-24.7381494],[0],"[-0.54399102 -0.22516129 -1.37790654 -1.00852457 -1.08772426  0.77709385
  0.26129916  0.11937225 -0.31951304 -0.26748214]"
[-38.38485935],[1],"[-0.52194997 -1.0173236  -0.56156673 -1.68253255 -2.31068634 -0.71841087
 -0.44021466 -0.95539293 -1.04328533 -0.65545376]"
[-25.78004502],[1],"[-1.14479198 -0.99477888 -1.78311314 -0.97223776 -0.27067879 -1.51432992
  0.02657855 -0.4202686  -1.51649276 -0.40279917]"
[-6.18440215],[0],"[-0.77223613  0.75119455  0.42209787 -0.98979084 -0.3268375  -0.07855545
 -0.84164069 -0.26649942 -1.00057703 -0.11931603]"
[-79.31778598],[0],"[-1.41959058 -2.85812734 -1.51457001 -2.14009144 -2.06775319 -1.6710124
 -0.80251176 -1.97253217 -1.5431398  -2.13202137]"
[-70.86078858],[1],"[-3.09252235 -1.66622289 -1.20595455 -2.59345218 -1.75230301 -2.12407465
 -1.81229202 -2.12476497 -2.01652316 -1.74374226]"
[-31.32891605],[0],"[-1.97418185 -1.29196913 -1.38585883 -1.75641334 -0.38338998 -0.4144632
 -1.16338764  0.00499886 -1.53127958 -0.71404118]"
[20.46929462],[0],"[ 0.42287634  1.55415494  1.28867866  2.20090738  0.8511282   0.40160311
 -0.81984187  0.56854352  1.16728276  0.15834571]"
[-29.57950072],[0],"[ 0.53378042 -1.1251429   0.42315997 -0.35575158 -0.77409827 -0.67738828
 -1.58158625 -1.01761496 -1.21655321 -1.02311589]"
[55.51213039],[1],"[1.91532523 1.59498465 2.01186417 0.44359073 0.24848215 0.41153515
 2.21413266 0.53327448 0.81264027 0.94560781]"
[-41.68524842],[0],"[-0.04902657 -1.46030793 -0.63302943 -1.15794467 -1.21897737 -0.37659817
 -1.82558173 -1.27668603 -0.9558751  -0.69524316]"
[10.51854704],[1],"[ 2.26579514 -0.16524052  1.2351614   0.0604858  -1.28287957  0.46010129
  0.21996209  0.89901947 -0.09132306 -0.2503016 ]"
[-17.47055931],[1],"[ 0.75695228  0.41981059 -1.25186798 -1.57334815 -0.13203946 -0.73222037
 -1.19142306 -0.08710473  0.28321957 -0.54820177]"
[10.98880094],[0],"[ 0.70438052  0.39276955 -0.09931927 -0.05797095 -0.29580893 -0.11937171
  1.07298312  0.41711801  0.56174257  0.50660944]"
[-6.07407937],[0],"[-1.04339517 -0.24155871  0.45293617 -0.40645738 -0.19724759  0.36217509
 -1.41481329  0.15574846 -0.13493415 -0.24469608]"
[-4.75318702],[1],"[-0.70178979 -0.05136741  0.4371223  -0.76606609 -0.88938321  0.26284197
  0.11570074 -0.28432962  0.39717382 -0.24617016]"
[42.65510668],[1],"[ 0.78071203  0.42643772  1.83038896 -1.16437519  0.66472762  0.84595024
  0.13367907  0.35053861  0.23579022  0.51237088]"
[-4.9933655],[1],"[-0.2695595   0.40533494 -1.31557134 -0.61423362  0.03209212  0.69248081
  0.35156778 -0.10848236  0.21409605  0.13313252]"
[44.11632537],[1],"[1.14377684 0.57501702 1.39913892 0.56872207 0.12063511 1.22808724
 1.95175827 0.67212427 1.55053391 0.71383244]"
[-21.64198186],[1],"[ 0.33751918  0.46544579 -1.34868913 -0.97380484 -0.92389123  0.74654647
 -1.07227641  0.04329725  0.58353343 -0.0492528 ]"
[-44.92222958],[1],"[-1.18012995 -2.64946361 -1.16929863 -0.44557317 -0.9909478   0.34789239
 -0.873736   -1.69347995 -1.33369028 -0.96488974]"
[-16.82489638],[1],"[-0.54678553 -2.58768194  0.22610769 -0.02457888 -0.43428135 -0.9923122
 -1.35376312 -1.12045943 -1.55285839 -0.27366755]"
[13.77547574],[0],"[ 1.55199299 -0.35066011  0.01873635  0.54237769  0.16126776  1.09592783
 -0.28287295  0.91686253  0.87813981  0.42191465]"
[-6.82760949],[1],"[-0.3626515  -1.95552229  0.77084944 -1.18206696 -0.76308917 -1.19082793
 -0.39635497 -1.06122427 -0.95069312 -0.27514831]"
[19.2138725],[0],"[-0.1415874   0.16513507  1.39790549  2.39783345  0.11069569 -0.38732777
 -0.05798956  0.20614856  1.39284357  0.90711699]"
[-42.95461667],[0],"[-2.39787321 -1.66188292 -1.18130234 -1.70768319  0.03050575 -1.5351724
 -0.77978823 -1.35501802 -0.73302842 -1.42336559]"
[23.21999716],[1],"[-0.17356052  0.21449797  0.51132148 -0.09618206  0.32006196  1.54873154
  0.46100905  0.77162224  0.05923973  0.19528922]"
[-2.4445639],[1],"[-1.1671311   0.32974979 -1.0132786  -0.31994375  0.124285    0.54171381
  0.90308564  0.40445108 -0.23078236 -0.41493617]"
[30.74914671],[0],"[ 0.22212777  0.2693834  -0.32340779  0.47886452  1.45373567  1.69911203
  1.14223914  0.47583323  0.55764553  0.70642517]"
[11.52645158],[0],"[-0.81433998  0.36577269  0.06936466  0.8210426   0.38814812  0.64565817
  0.23357536 -0.19440308  0.1851286   0.63527338]"
[-24.95046383],[1],"[ 0.14529583  1.01694405 -0.87890957 -0.37967789 -0.37335039 -0.15810706
 -0.84313988 -0.82987437 -1.92589241 -0.75585153]"
[-10.23066722],[0],"[ 0.28392383  0.4751802  -0.16784183  0.74767985 -0.34122701  0.802406
 -0.96921476  0.47286834  0.19909166 -0.07285057]"
[47.51935559],[1],"[ 0.63986289  1.7061238   1.3396649  -0.19537499  0.01224681  0.91501041
  0.78101569  1.25175668  1.27615776  1.16956759]"
[25.30828219],[1],"[ 1.02220935  1.17723178 -0.46322122  1.68625315  0.49404414  0.45366176
  1.18437006  1.06257676  1.27134517  0.85028924]"
[-2.78579685],[0],"[-2.17306158 -0.92411789  0.00402037 -1.07681259  0.56233673  0.3319072
 -0.80040728  0.11573592 -0.08105915 -0.43739963]"
[-0.75943795],[0],"[ 1.0150677   0.56401878  0.41592263 -0.25373621 -0.27895391 -0.20870973
 -0.48758936  0.02371624  0.32024665 -0.12586104]"
[-30.23904812],[1],"[-0.7741621   0.21345491 -0.29009832 -1.39295997 -1.80906859 -0.47631546
 -0.21448323 -0.14148031 -1.0639762  -0.98647088]"
[8.10751231],[1],"[ 0.30091323  0.03311344 -0.02799744 -0.83280818 -0.02508223 -0.34810061
  0.28531895 -0.04426574 -0.50502808  0.09338558]"
[18.32526478],[1],"[ 0.48446732  1.21187813  0.23471012  0.37619692 -0.52962578  0.42331562
  0.40591434  1.33084983 -0.28487787  0.48658894]"
[1.62854246],[1],"[ 1.59527407  0.63842779 -0.04731499  0.64360536 -0.32224898  0.72262841
 -0.87326567 -0.46197451 -0.19608571  0.55977241]"
[-17.45522538],[0],"[-0.92873773 -0.23069827 -0.86260751 -0.2915644   0.1175022  -0.11491085
 -0.18451923  0.01938617  0.19637666 -0.51696046]"
[-5.57457104],[0],"[-0.61932129 -0.37190047 -0.051814    0.08569302 -0.19509705  0.0054013
 -1.01264158  0.39782662  0.30818945  0.03043358]"
[49.78293262],[1],"[-0.07619993  1.05794396  1.36062409  0.9225246   0.93286733  1.31341805
  1.51773947  0.98800102  0.72021109  0.59327213]"
[-20.19784079],[1],"[ 0.07804418  0.98514181 -0.53898907  1.68445467 -0.83272632 -0.59520793
 -0.10583131 -0.32656697 -0.25782431 -0.33924975]"
[43.11346357],[1],"[ 0.95290521  0.7817614   0.58321782 -0.50236029  0.54915245  0.47200128
  1.15749248  1.20797365  1.19470508  0.85956467]"
[36.78893565],[1],"[ 0.65208005  1.15231708  0.59929941  1.1682196   1.88283738 -0.60373885
 -0.17937867  0.61506203  0.18757921  0.43046918]"
[-11.93473988],[0],"[-0.26871711 -1.31967868 -0.64434066  0.39770627  0.63098206 -0.32148948
 -0.95813478 -0.68994151 -0.03328396  0.07604612]"
[84.38853313],[0],"[2.82334321 2.2719295  1.84964276 3.08723712 1.83044641 1.70360652
 1.46309403 2.6178871  2.25447993 1.95191213]"
[0.43338166],[1],"[-1.51492871 -0.20551436  0.3431047  -0.92961709 -0.85676604  1.08550999
  0.26108691 -0.11867845  0.22025458 -0.03887815]"
[-68.49409033],[1],"[-2.21897491 -1.47460306 -2.08935343 -1.6958054  -1.90699607 -1.21791868
 -0.20428449 -1.52360454 -0.56943183 -1.58082919]"
[-23.03067897],[0],"[ 0.02562072  1.30633739 -0.56189277 -0.16578887 -1.37644368  0.74615652
 -1.57670183  0.01442469 -0.33265383  0.05253422]"
[-0.85260537],[1],"[-0.06524451  0.42095088 -0.12801423  0.28367931 -0.37601544 -0.10112006
  0.06341605  0.13736091 -0.31651849  0.00681728]"
[-59.95940931],[0],"[-0.88910613  0.59622761 -2.27328456  0.28923373 -1.42612706  0.13171618
 -1.01903306 -0.06042612 -0.0415613  -1.1232701 ]"
[33.04193815],[1],"[-0.07332908  0.57152992  0.84009667 -0.7168775   0.86456296  0.0896944
  0.48176678  0.69054881 -1.09533297  0.21782665]"
[43.12455088],[1],"[ 2.10943398  0.86167417  0.22751951 -0.28171263  0.88302994  0.86216211
  0.95403535  1.0709464  -0.40945973  0.8460398 ]"
[33.43447981],[0],"[0.56717323 0.89072233 1.04519548 0.81204084 0.29997746 1.82075521
 0.22894101 0.6192963  0.32731971 0.97820621]"
[-20.55997432],[1],"[-0.75468734 -0.41047423 -1.15013187  1.35214237  0.23136153 -0.24793661
 -1.92752614 -0.01848635 -0.50254277 -0.02730085]"
[-6.81704669],[0],"[ 0.72506014  0.07339614 -0.32889483 -0.33052655 -0.86878699 -0.64276699
  0.6358406  -0.10241257 -0.33225032  0.24655766]"
[-39.63478453],[0],"[-0.07421234 -0.80509789 -0.87222154  0.12392477 -0.84278092 -1.50648549
 -0.6992762  -0.99830248 -0.28096657 -0.66066254]"
[-26.30768135],[1],"[-0.81777518 -0.14148137 -0.70774454 -0.78185243 -1.05029546 -1.02647653
 -1.19615951  0.22602018 -1.33912205 -0.74267422]"
[-1.72455901],[1],"[ 0.81513263  0.15257787 -0.56590459 -0.15983319  0.00713906  0.48159028
  0.0395829   0.35769867  0.46217343 -0.37828796]"
[29.68291304],[1],"[ 1.37866149  0.36733364  0.15909856  2.59791337  0.74695427  1.21526485
  0.95221787  0.84196293 -0.2424054   0.54973672]"
[-62.30684795],[0],"[-0.67492605 -1.01758412 -1.14411641 -1.12671022 -0.93200279 -1.09907914
 -2.0485826  -1.86266499 -1.36796217 -1.48938956]"
[-13.63292771],[0],"[ 0.13638926  0.84485625 -0.27066851 -0.33804055  0.02315051 -0.22374215
 -0.08542207 -0.93890353 -0.96584439 -0.58893678]"
[105.2196055],[1],"[1.83383818 2.30442225 2.06500083 1.29087106 3.09431741 1.91196458
 1.27515002 2.69709848 1.75769812 1.71776549]"
[27.93099043],[0],"[-0.91778613  0.66468206  1.12180689  1.29391514  0.30987978  0.56494564
  0.38376584  1.01759993  0.86779419  0.61216012]"
[1.92243758],[1],"[-0.66565402 -0.37270116  0.87592855 -0.60733824 -0.58162251  0.27234638
 -0.5801422   0.31218698 -0.33141612 -0.3645214 ]"
[-45.60483333],[0],"[-0.53642672 -0.61650288 -0.76386742  0.78104562 -1.87487874 -1.6126081
 -0.84515127 -0.72788473  0.03685508 -0.39555042]"
[3.25321088],[1],"[-0.64406998 -1.32873515  0.60164446 -0.32168097  0.17586022  0.1333469
 -0.35674584 -0.20064164 -0.24569717 -0.39623651]"
[-15.51531005],[1],"[-1.36722005 -0.0967372  -0.45490031  0.63508284  0.08177182 -0.26623203
 -1.1096087  -0.41060847 -0.89789957 -0.37102076]"
[-27.93884206],[0],"[-1.50162866 -0.41871001 -0.40012623 -3.30287985 -1.19731403 -0.73136364
 -0.92942832 -0.74610332 -0.10279858 -0.47021356]"
[76.42863531],[0],"[-0.07133614  0.44745243  1.58557761  2.97089514  2.90086439  2.75125255
  0.79527359  1.36224718  1.42980406  1.8675776 ]"
[70.23637347],[1],"[2.01050567 1.79685439 1.87276763 1.7021491  1.55147449 2.35191772
 1.86205093 0.8145148  0.82233568 1.13482252]"
[15.27702832],[1],"[ 0.21839359  0.14776095  0.37322307  0.94041025  0.36944181 -0.13838898
  0.62899045  0.25544817  0.35143201  0.06087168]"
[-42.17613751],[1],"[-0.431939   -1.26753896 -1.19047678 -1.50822255 -1.42303742  0.12028336
 -0.96697905 -1.43685752 -0.08454695 -0.68990227]"
[-2.8712687],[1],"[ 0.07061211 -0.6736296   0.27250197 -1.74348905 -0.11683674 -0.44753496
 -0.60861476 -0.48319226 -0.22647124 -0.5562853 ]"
[34.01349368],[0],"[-0.87467637 -0.03332333  0.82111023  0.57190668  1.2090045  -0.00161649
  1.40479384  0.4612238   1.30676333  0.49470372]"
[-0.90664464],[1],"[-0.56242678 -0.6923663  -0.83277292 -0.89626819 -0.0090336   0.91355273
  0.30025758 -0.33145095 -0.88196987  0.09669304]"
[17.80846247],[1],"[ 0.93735392  0.51851429  0.2626386  -0.21248296  0.41860138  0.53941739
  0.03215857  0.02113563  0.15287989  0.37024178]"
[13.27107381],[0],"[ 0.81809327  0.4817346   0.4078216  -0.15587465  1.07048432 -0.35493294
 -0.22247634  0.25508081 -0.65947152 -0.27616792]"
[6.94479587],[0],"[ 0.8351418   1.30951861  0.01262362  0.60446144  0.09719222 -0.53676814
  1.16289183  0.3605584   1.05613961 -0.03419705]"
[-5.18455045],[1],"[ 0.92021409 -0.02275467  0.27082579 -0.28152114 -0.28099074 -0.86984007
 -0.8115698  -0.37698297  0.08624435 -0.13133232]"
[-25.52313978],[0],"[-0.30879074  0.4148372  -0.52579631 -1.38871938 -0.52960694 -0.6800059
 -0.70636829 -0.61405016  0.1338989  -0.76910972]"
[9.61029975],[1],"[ 1.24748036  0.54352937 -0.21476816  0.29389833  0.09473043  0.25864796
  0.46816049  0.10393008  0.55419683  0.21703486]"
[37.75940574],[0],"[-0.18883001  1.50316858 -0.37432472  0.68938373  2.07592634  1.39842141
  1.50918451  0.5329141   0.26358481  0.59879864]"
[-13.18500345],[0],"[-0.06261929  0.6545609   0.66793516 -0.49513969 -1.28957397  0.25594769
 -0.16900976 -0.2268446  -0.36035201 -0.57494842]"
[-24.59260922],[0],"[-0.38234373  0.40346631 -0.47169662 -0.89331391 -1.11708525 -0.46459263
 -0.32555306 -0.63738068  0.23477165 -0.28040087]"
[-16.33834756],[0],"[-0.05636783  0.06950266 -1.236774    0.31130197  0.45654862 -0.07374654
 -0.39631827  0.00225326  0.1114148  -0.59581507]"
[-7.55984557],[1],"[ 0.76034262  0.10328213  0.5690952  -0.34549366 -1.22152292  0.24266774
 -0.59208625 -0.08865896 -0.26339803 -0.18262804]"
[-9.57430304],[0],"[-1.16151666  0.57363306 -0.02241945  0.3197094  -0.52677177 -0.04584477
  0.50849193  0.40882755 -0.16197896 -0.61657831]"
[11.32797676],[1],"[ 0.20298493  0.20108718  1.3951007   0.31520975 -0.32487401 -0.21193245
 -1.50141596 -0.20390133  1.67111132  0.69644782]"
[1.032753],[0],"[ 0.32393626  0.03917019  0.17932351 -0.72452886  0.43606469 -0.80225016
 -1.16182293  0.24724489  0.17949973 -0.0568834 ]"
[-34.14862865],[0],"[-0.89435747 -1.23337392  0.05110405  0.02245587 -1.18522484 -0.46082021
 -0.92606042 -1.57250798 -1.07113695 -0.50535519]"
[35.00057223],[0],"[0.26362163 1.06188916 0.40780248 1.83324168 1.27154485 1.51739345
 0.21012449 1.29909611 1.43901906 0.89102607]"
[31.36181232],[1],"[ 1.11890148  1.31710821  0.57565927  1.48133367  0.76031583  0.99136908
  0.25313065  0.45818207 -0.30192294  0.81890376]"
[-73.52419127],[1],"[-1.45851065 -1.96037593 -1.62562957 -1.12356953 -2.66943203 -1.79341729
 -1.35178339 -0.90386632 -1.73570774 -1.47746957]"
[-42.82090585],[0],"[-1.01291796 -2.21904911 -1.6539323  -2.10711723 -0.23277124 -1.36317247
 -1.07332631 -0.99707057 -1.861171   -1.20441901]"
[55.4239322],[0],"[ 2.34425175  0.38757952  2.09773216 -0.11017222  0.28194118 -0.07244255
  1.05099715  1.98961272  1.16574672  0.89192662]"
[34.42417202],[1],"[ 1.54179479 -0.22290578  0.33117287  0.74200184  1.4403644   0.00214108
  0.38088991 -0.15412843  0.2110424   0.94580342]"
[5.39121265],[0],"[ 0.04770124 -0.13250252 -0.19831937  0.74806813 -0.26625039  0.43115224
  1.19165987 -0.07498637  0.97455447  0.59400467]"
